Comment,Designator,Footprint,LCSC, LCSC, Voltage 
"100nF","C18,C13,C15,C9,C2,C8,C11,C20","Capacitor_SMD:C_0805_2012Metric","","C49678","50V"
"10uF","C19,C17","Capacitor_SMD:C_0805_2012Metric","","C15850","25V"
"1uF","C4","Capacitor_SMD:C_0805_2012Metric","","C28323",""
"10nF","C5,C21,C12,C1","Capacitor_SMD:C_0805_2012Metric","","C1710",""
"220uF","C7,C14,C16,C6,C10,C3","Capacitor_SMD:CP_Elec_8x10","","C311611","35V"
"RED","D1,D7","LED_SMD:LED_0805_2012Metric","","C84256",""
"SS54HF","D2,D5,D4","e-Power:DO-214AC","","C22452",""
"GREEN","D6,D3","LED_SMD:LED_0805_2012Metric","","C2297",""
"Fuse","F2,F1,F3,F4,F5,F6,F7","e-Power:FUSE_1206_3216Metric","","C182445",""
"MountingHole_Pad","H1,H2,H3,H4,H5,H6,H7,H8","MountingHole:MountingHole_3.2mm_M3_Pad_Via",""
"18650_IN","J1","e-Power:BatteryHolder_1x18650",""
"Input_01x02","J2","e-Power:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.08mm_Horizontal_3D",""
"24V","J3","e-Power:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.08mm_Horizontal_3D",""
"OUT_SIG","J4","e-Power:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.08mm_Horizontal_3D",""
"Ferrite","L1","e-Power:FB_0603_1608Metric","","C1002",""
"10uH","L3,L6,L2,L4,L5","e-Power:L_10.4x10.4_H4.8","","C9935",""
"Si2302DS","Q2,Q1,Q3","Package_TO_SOT_SMD:SOT-23","","C558245",""
"MMBT5551","Q4","Package_TO_SOT_SMD:SOT-23","","C2145",""
"MMBT5401","Q5","Package_TO_SOT_SMD:SOT-23","","C8326",""
"39K","R10","Resistor_SMD:R_0805_2012Metric","","C25826",""
"3K9","R14","Resistor_SMD:R_0805_2012Metric","","C17614",""
"ADJ","R15,R13","Resistor_SMD:R_0805_2012Metric",""
"12K","R16","Resistor_SMD:R_0805_2012Metric","","C17444",""
"1K","R17,R18,R12,R5,R2,R1,R11,R23,R28","Resistor_SMD:R_0805_2012Metric","","C17513",""
"0R1","R20,R19","Resistor_SMD:R_1206_3216Metric","","C25334",""
"1K2","R21","Resistor_SMD:R_0805_2012Metric","","C17379",""
"10K","R3,R6,R25,R24,R22,R26,R27","Resistor_SMD:R_0805_2012Metric","","C17414",""
"2.2R","R4","Resistor_SMD:R_0805_2012Metric","","C17521",""
"0R","R8,R7","Resistor_SMD:R_0805_2012Metric","","C17477",""
"100R","R9","Resistor_SMD:R_0805_2012Metric","","C17408",""
"BATT+","TP1","e-Power:TestPoint_Pad_D1.0mm",""
"GND","TP10,TP9,TP11","e-Power:TestPoint_Pad_D1.0mm",""
"BATT-","TP2","e-Power:TestPoint_Pad_D1.0mm",""
"VIN","TP3","e-Power:TestPoint_Pad_D1.0mm",""
"0.6V","TP4","e-Power:TestPoint_Pad_D1.0mm",""
"1.2V","TP5","e-Power:TestPoint_Pad_D1.0mm",""
"24V","TP6","e-Power:TestPoint_Pad_D1.0mm",""
"SIG","TP7","e-Power:TestPoint_Pad_D1.0mm",""
"5V","TP8","e-Power:TestPoint_Pad_D1.0mm",""
"MT3608","U1","Package_TO_SOT_SMD:SOT-23-6","","C84817",""
"LM2596S-ADJ","U2","Package_TO_SOT_SMD:TO-263-5_TabPin3","","C99046",""
"DW01A","U3","Package_TO_SOT_SMD:SOT-23-6","","C61503",""
"TP4056","U4","e-Power:ESOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.81mm_ThermalVias","","C16581",""